1873 1266:0.738912390875,2940:0.579448480099,3509:0.343871978391,
1874 1233:0.797281917003,2797:0.258846960841,454:0.392216676902,2967:0.378821691622,
1875 2652:0.330222317389,3264:0.320416660886,1094:0.360973499774,1992:0.241774453574,585:0.225146178128,3375:0.374314002007,3016:0.432600038654,443:0.279587786567,2588:0.378702697534,
1876 842:0.719369496488,2683:0.69462761788,
1877 544:0.557042010332,3360:0.44487489473,333:0.385683530165,3285:0.308160696943,1049:0.329959895155,638:0.373098102076,
1878 2588:0.529726060491,858:0.245895179168,2619:0.406375925701,1892:0.666792262855,2797:0.221748837441,
1879 1834:0.541179540102,571:0.410920352126,92:0.542980824782,2263:0.493397399165,
1880 2054:0.231274310944,1738:0.48776077135,203:0.228560055626,269:0.372343770314,3118:0.217370397288,3277:0.217370397288,690:0.33309368806,3385:0.48776077135,3533:0.272690825631,
1881 576:0.543836761357,569:0.300442721812,2419:0.5572691146,1765:0.365271534021,1113:0.412314913936,
1882 1801:0.442545322438,19:0.301774430967,2436:0.428833634098,1501:0.54194938885,1095:0.485261171529,
1883 535:1.0,
1884 566:0.319978668912,2030:0.507064047694,1968:0.641497056788,950:0.31309575126,1689:0.272422426376,569:0.238198029506,
1885 1609:0.511391827255,1061:0.451800216358,3465:0.730995871066,
1886 2504:0.314644006715,1585:0.598004659355,732:0.400717334192,1965:0.535779745646,3285:0.30944346602,
1887 569:0.567441380497,2858:0.491838734881,19:0.660382418429,
